model,iterations,mutation_models,Output_difference_PyTorch_TensorFlow
xception,73,xception-imagenet_origin-MShape1-SpecialI81_73,
xception,74,xception-imagenet_origin-MShape0-MDims34-Edge55_74,9.122660040855408
xception,75,xception-imagenet_origin-MDtype3-MShape90_75,9.122660040855408
xception,76,xception-imagenet_origin-Edge4-NLAll13-LMerg56-NLAll66-MDtype89_76,9.122660040855408
xception,77,xception-imagenet_origin-MShape48_77,0.07707384042441845
xception,78,xception-imagenet_origin-MDtype3-MParam38_78,0.07707384042441845
xception,79,xception-imagenet_origin-MShape0-NLAll9-MDtype12-NLAll78_79,0.07707384042441845
xception,80,xception-imagenet_origin-Edge4-NLAll13-LMerg56-NLAll66-MParam77_80,0.07707384042441845
xception,81,xception-imagenet_origin-MDtype3-Edge5-MShape95_81,0.07707384042441845
xception,82,xception-imagenet_origin-MDtype3-Edge5-MParam27-NLAll37_82,0.07707384042441845
xception,83,xception-imagenet_origin-MShape0-SpecialI2-NLAll71_83,0.07707384042441845
xception,84,xception-imagenet_origin-MShape0-NLAll83_84,0.07707384042441845
xception,85,xception-imagenet_origin-MShape1-LMerg10-Edge25-MShape42_85,9.60378748178482
xception,86,xception-imagenet_origin-Edge4-LMerg23_86,6.259234011173248
xception,87,xception-imagenet_origin-MShape0-MDims34_87,0.00832353814621456
densenet,1,densenet121-imagenet_origin-MParam14_1,0.4299905691295862
densenet,2,densenet121-imagenet_origin-Edge5-LMerg11-NLAll40-NLAll46-SpecialI56_2,6.011094272136688
densenet,3,densenet121-imagenet_origin-MDims4-MParam24-Edge28-Edge38_3,4.391881912946701
densenet,4,densenet121-imagenet_origin-MDtype1-MDtype12-NLAll42_4,4.391881912946701
densenet,5,densenet121-imagenet_origin-Edge5-LMerg11_5,7.663136601448059
densenet,6,densenet121-imagenet_origin-Edge5_6,7.38794618844986
densenet,7,densenet121-imagenet_origin-MDtype1-MDtype12-NLAll42-Edge55-Edge74_7,7.38794618844986
densenet,8,densenet121-imagenet_origin-Edge5-LMerg11-NLAll63-NLAll64-NLAll70-MDims99_8,7.38794618844986
densenet,9,densenet121-imagenet_origin-SpecialI3_9,4.519913829881261e-07
densenet,10,densenet121-imagenet_origin-MDims4-MShape9-SpecialI91_10,0.03094973647966981
densenet,11,densenet121-imagenet_origin-Edge5-LMerg11-NLAll40-NLAll46_11,4.884745568037033
densenet,12,densenet121-imagenet_origin-MDtype1-MDtype8-LMerg36-NLAll67-NLAll71_12,4.884745568037033
densenet,13,densenet121-imagenet_origin-MDtype1-MDtype12-NLAll42-Edge55-MDtype83_13,4.884745568037033
densenet,14,densenet121-imagenet_origin-Edge5-NLAll20-SpecialI23_14,4.884745568037033
densenet,15,densenet121-imagenet_origin-MDims4-MShape9-MDtype47_15,4.884745568037033
densenet,16,densenet121-imagenet_origin-Edge0-SpecialI2_16,5.946343064308167
densenet,17,densenet121-imagenet_origin-Edge5-MShape10-MDims13-NLAll21-MDims48-MParam49-LMerg93_17,5.946343064308167
densenet,18,densenet121-imagenet_origin-MDims4-MParam24-Edge28_18,2.325309604406357
densenet,19,densenet121-imagenet_origin-MDtype1-MDtype8-LMerg31_19,2.325309604406357
densenet,20,densenet121-imagenet_origin-Edge5-NLAll20-MDtype22-NLAll66_20,2.325309604406357
densenet,21,densenet121-imagenet_origin-Edge0_21,5.841615617275238
densenet,22,densenet121-imagenet_origin-MDtype1-MDtype12-NLAll42-Edge55-MDims82_22,5.841615617275238
densenet,23,densenet121-imagenet_origin-MDims4-MDtype7-Edge18_23,8.07158476114273
densenet,24,densenet121-imagenet_origin-MDtype1-MDtype12-NLAll42-Edge55_24,8.07158476114273
densenet,25,densenet121-imagenet_origin-Edge5-LMerg11-MDtype17_25,8.07158476114273
densenet,26,densenet121-imagenet_origin-MDtype1-Edge29_26,6.438790380954742
densenet,27,densenet121-imagenet_origin-MDtype1-MDtype12-NLAll42-Edge55-MDims82-NLAll89_27,6.438790380954742
densenet,28,densenet121-imagenet_origin-MDims4-MDtype7-LMerg30-MDtype33_28,6.438790380954742
densenet,29,densenet121-imagenet_origin-MDims4-MDtype7-MShape78_29,0.02876693588041235
densenet,30,densenet121-imagenet_origin-MDims4-MParam24-Edge28-Edge38-NLAll80_30,0.02876693588041235
densenet,31,densenet121-imagenet_origin-MDtype1-MDtype8-LMerg36_31,0.7882506772875786
densenet,32,densenet121-imagenet_origin-Edge5-MShape10-LMerg37_32,1.666825920343399
densenet,33,densenet121-imagenet_origin-MDtype1-MDtype8-MParam75_33,0.3780931532382965
densenet,34,densenet121-imagenet_origin-MDtype1-MDtype8-LMerg36-NLAll52_34,0.3780931532382965
