mutation_type,iterations,Output_Distance_ms_PyTorch,Output_Distance_PyTorch_ONNX,Output_Distance_ms_ONNX
DM,28,"(3.031649e-12, 0.0)","(2.9319078e-09, 0.0)","(2.932514e-09, 0.0)"
DM,30,"(3.031649e-12, 0.0)","(2.9319078e-09, 0.0)","(2.932514e-09, 0.0)"
DM,32,"(0.0, 0.0)","(6.381621e-11, 0.0)","(6.381621e-11, 0.0)"
DM,34,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
DM,36,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
DM,38,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
DM,40,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
LD,2,"(8.088389e-05, 6.1077306e-05)","(0.15430133, 0.10429274)","(0.15430307, 0.10428336)"
LD,4,"(3.982958e-05, 4.729265e-05)","(0.13005288, 0.115914024)","(0.13005114, 0.11590585)"
LD,6,"(3.982978e-05, 4.729313e-05)","(0.13005288, 0.11591402)","(0.13005114, 0.11590585)"
LD,8,"(3.9829752e-05, 4.7292535e-05)","(0.13005288, 0.11591402)","(0.13005114, 0.11590585)"
LD,10,"(3.982979e-05, 4.729252e-05)","(0.13005288, 0.115914024)","(0.13005114, 0.11590585)"
LD,12,"(3.9829767e-05, 4.729278e-05)","(0.13005288, 0.11591402)","(0.13005114, 0.11590585)"
LD,14,"(3.982977e-05, 4.7288082e-05)","(0.13005288, 0.11591401)","(0.13005114, 0.11590585)"
LD,16,"(3.9829745e-05, 4.7292517e-05)","(0.13005288, 0.115914024)","(0.13005114, 0.11590585)"
LD,18,"(3.9829793e-05, 4.7288206e-05)","(0.13005288, 0.11591401)","(0.13005114, 0.11590585)"
LD,20,"(3.982983e-05, 4.7301186e-05)","(0.13005288, 0.115914024)","(0.13005114, 0.11590585)"
LA,2,"(6.057406e-05, 6.0574705e-05)","(0.20877862, 0.217555)","(0.20878804, 0.21756507)"
LA,4,"(0.0005568893, 0.031195626)","(0.30918077, 0.33663526)","(0.3092665, 0.3179968)"
LA,6,"(9.895367e-06, 0.032046866)","(0.00012461514, 0.04307467)","(0.000116220035, 0.05320279)"
LA,8,"(9.895366e-06, 0.029615136)","(0.00012461514, 0.036959026)","(0.000116220035, 0.045733232)"
LA,10,"(7.209872e-06, 0.02961514)","(0.0001702577, 0.036959026)","(0.00017205311, 0.045733232)"
LA,12,"(0.565659, 0.18381108)","(0.28459468, 0.37015283)","(0.8502535, 0.48705003)"
LA,14,"(0.008342921, 0.022822589)","(0.0010738695, 0.4293466)","(0.007450449, 0.42432395)"
LA,16,"(0.008342921, 0.5934444)","(0.0010738695, 0.00030137246)","(0.007450449, 0.59340096)"
