mutation_type,iterations,Output_Distance_ms_PyTorch,Output_Distance_PyTorch_ONNX,Output_Distance_ms_ONNX
RA,60,"(5.1991246e-05, 1.9127741e-05)","(0.00022525132, 0.0036332007)","(0.00023100177, 0.0036460047)"
RA,65,"(5.196523e-05, 3.575254e-05)","(0.0012600009, 0.008337291)","(0.0012721549, 0.008345734)"
RA,70,"(5.354823e-05, 5.8954847e-06)","(0.00012819869, 0.0019960424)","(0.00013713546, 0.0019946743)"
RA,75,"(5.3655214e-05, 3.1977193e-06)","(0.00012660725, 8.6273125e-05)","(0.00013572541, 8.663787e-05)"
RA,80,"(1.150452e-05, 8.6499017e-07)","(0.005768474, 2.6710445e-06)","(0.0057708104, 2.7728674e-06)"
RA,85,"(1.3393486e-05, 9.46676e-05)","(0.005839507, 0.02032792)","(0.0058425083, 0.020329444)"
RA,90,"(1.5057294e-05, 9.348497e-07)","(0.0074183573, 0.00016559975)","(0.007420602, 0.00016498407)"
RA,95,"(5.368411e-05, 9.8172395e-06)","(0.0001268017, 0.0002850492)","(0.00013568866, 0.0002816158)"
RA,100,"(1.0968571e-05, 7.667029e-06)","(0.010114294, 0.0017467714)","(0.01011666, 0.0017453014)"
LS,5,"(4.83001, 0.00012970614)","(1234.4105, 0.07143358)","(1236.0265, 0.07145403)"
LS,10,"(23.624887, 0.0010874679)","(24803.451, 1.2171526)","(24806.725, 1.2173593)"
LS,15,"(1388.4135, 0.00016135648)","(1755608.2, 0.0666259)","(1756497.0, 0.06662272)"
LS,20,"(4127.1294, 0.00016135648)","(2323767.8, 0.0666259)","(2326946.5, 0.06662272)"
LS,25,"(44.388084, 0.0029516318)","(20327.812, 0.423329)","(20335.723, 0.42221522)"
LS,30,"(1695962.1, 0.0037242179)","(815457700.0, 1.8374112)","(815498750.0, 1.8383745)"
LS,35,"(34069965000.0, 0.018365761)","(7709785000000.0, 12.444843)","(7736174000000.0, 12.452545)"
LS,40,"(15475462000.0, 0.0011944665)","(11943977000000.0, 0.41066954)","(11933711000000.0, 0.4108051)"
LS,45,"(983710.0, 0.00028824518)","(752396900.0, 0.26974067)","(752955600.0, 0.26981905)"
LS,50,"(45333.848, 0.0007718101)","(12704648.0, 0.44198424)","(12718849.0, 0.44176763)"
LS,55,"(106134860.0, 0.00014425043)","(34655120000.0, 0.11162025)","(34589870000.0, 0.11166182)"
LS,60,"(178969890.0, 6.0739105e-05)","(110506656000.0, 0.05910589)","(110513046000.0, 0.059096325)"
LS,65,"(11217575.0, 0.002878109)","(4278943200.0, 2.5543385)","(4268579000.0, 2.5550373)"
LS,70,"(39759452.0, 2.792159e-05)","(17791850000.0, 0.013731134)","(17752965000.0, 0.013727404)"
LS,75,"(42635484.0, 0.000104698796)","(24911059000.0, 0.011176924)","(24906144000.0, 0.011238205)"
LS,80,"(68755440.0, 0.002367526)","(31571116000.0, 1.2854967)","(31580895000.0, 1.2852416)"
LS,85,"(18879028.0, 0.30621907)","(12548435000.0, 99.8653)","(12534461000.0, 99.93131)"
LS,90,"(96556280.0, 0.00019777936)","(29691130000.0, 0.11786364)","(29648230000.0, 0.11794809)"
LS,95,"(184763340.0, 0.000581362)","(76985190000.0, 0.22673793)","(76951740000.0, 0.2269649)"
LS,100,"(548001100.0, 1.1909041e-05)","(348023300000.0, 0.0029064373)","(347537670000.0, 0.0029008521)"
DM,5,"(2.8838085e-07, 3.51477e-07)","(0.0010758095, 1.3733647e-06)","(0.0010759243, 1.3455926e-06)"
DM,10,"(2.8838085e-07, 3.51477e-07)","(0.00024127895, 1.3733647e-06)","(0.00024138945, 1.3455926e-06)"
DM,15,"(1.3911174e-06, 3.6757535e-07)","(3.5354907e-07, 9.986292e-07)","(1.4568229e-06, 9.275678e-07)"
DM,20,"(5.6186013e-07, 3.6757535e-07)","(2.3978288e-09, 9.986292e-07)","(5.636194e-07, 9.275678e-07)"
DM,25,"(5.6186013e-07, 1.3191761e-05)","(2.3978288e-09, 7.6769775e-06)","(5.636194e-07, 1.500664e-05)"
DM,30,"(7.5752284e-09, 1.3191761e-05)","(2.9946093e-12, 7.6769775e-06)","(7.575529e-09, 1.500664e-05)"
DM,35,"(7.5752284e-09, 1.3191761e-05)","(2.9946093e-12, 7.6769775e-06)","(7.575529e-09, 1.500664e-05)"
DM,40,"(7.5752284e-09, 1.3191761e-05)","(2.9946093e-12, 7.6769775e-06)","(7.575529e-09, 1.500664e-05)"
DM,45,"(7.5752284e-09, 1.3191761e-05)","(2.9946093e-12, 7.6769775e-06)","(7.575529e-09, 1.500664e-05)"
DM,50,"(7.5752284e-09, 1.3191761e-05)","(2.9946093e-12, 7.6769775e-06)","(7.575529e-09, 1.500664e-05)"
DM,55,"(7.5752284e-09, 8.963914e-06)","(2.9946093e-12, 6.7298442e-06)","(7.575529e-09, 6.775204e-06)"
DM,60,"(7.1005046e-09, 8.963914e-06)","(2.9081028e-12, 6.7298442e-06)","(7.1008888e-09, 6.775204e-06)"
DM,65,"(7.1005046e-09, 8.963914e-06)","(2.9081028e-12, 6.7298442e-06)","(7.1008888e-09, 6.775204e-06)"
DM,70,"(7.1005046e-09, 8.963914e-06)","(2.9081028e-12, 6.7298442e-06)","(7.1008888e-09, 6.775204e-06)"
DM,75,"(7.1005046e-09, 8.963914e-06)","(2.9081028e-12, 6.7298442e-06)","(7.1008888e-09, 6.775204e-06)"
DM,80,"(7.1005046e-09, 8.963914e-06)","(2.9081028e-12, 6.7298442e-06)","(7.1008888e-09, 6.775204e-06)"
DM,85,"(7.1005046e-09, 8.963914e-06)","(2.9081028e-12, 6.7298442e-06)","(7.1008888e-09, 6.775204e-06)"
DM,90,"(7.1005046e-09, 8.963914e-06)","(2.9081028e-12, 6.7298442e-06)","(7.1008888e-09, 6.775204e-06)"
DM,95,"(7.1005046e-09, 8.963914e-06)","(2.9081028e-12, 6.7298442e-06)","(7.1008888e-09, 6.775204e-06)"
DM,100,"(7.1005046e-09, 8.963914e-06)","(2.9081028e-12, 6.7298442e-06)","(7.1008888e-09, 6.775204e-06)"
LC,5,"(1.3630316e-05, 7.386376e-06)","(0.0045000305, 0.001168637)","(0.004496209, 0.0011736128)"
LC,10,"(0.00041546638, 6.7942588e-06)","(0.11110252, 0.002246439)","(0.11115655, 0.0022473475)"
LC,15,"(0.001596126, 0.019023433)","(0.35870275, 9.176131)","(0.35876098, 9.173546)"
LC,20,"(0.020505926, 0.02814467)","(1.0561169, 14.067784)","(1.0638857, 14.072322)"
LC,25,"(0.4993804, 0.02814467)","(19.99444, 14.067784)","(20.236523, 14.072322)"
LC,30,"(2.0329294, 0.02814467)","(154.96521, 14.067784)","(156.15424, 14.072322)"
LC,35,"(15.889179, 0.02814467)","(683.28107, 14.067784)","(686.9728, 14.072322)"
LC,40,"(1289.1433, 0.02814467)","(37358.363, 14.067784)","(37651.188, 14.072322)"
LC,45,"(757053.44, 0.02814467)","(212738080.0, 14.067784)","(213004750.0, 14.072322)"
LC,50,"(133225064.0, 0.02814467)","(71359280000.0, 14.067784)","(71490440000.0, 14.072322)"
LC,55,"(970648300.0, 0.02814467)","(534190850000.0, 14.067784)","(535140100000.0, 14.072322)"
LC,60,"(3628175500000.0, 0.02814467)","(4923197000000000.0, 14.067784)","(4925723500000000.0, 14.072322)"
LC,65,"(29388041000000.0, 0.02814467)","(3.4728979e+16, 14.067784)","(3.4752337e+16, 14.072322)"
LC,70,"(29388041000000.0, 0.02814467)","(3.4728979e+16, 14.067784)","(3.4752337e+16, 14.072322)"
LC,75,"(29388041000000.0, 0.02814467)","(3.4728979e+16, 14.067784)","(3.4752337e+16, 14.072322)"
LC,80,"(29388041000000.0, 0.02814467)","(3.4728979e+16, 14.067784)","(3.4752337e+16, 14.072322)"
LC,85,"(29388041000000.0, 0.02814467)","(3.4728979e+16, 14.067784)","(3.4752337e+16, 14.072322)"
LC,90,"(29388041000000.0, 0.02814467)","(3.4728979e+16, 14.067784)","(3.4752337e+16, 14.072322)"
LC,95,"(29388041000000.0, 0.02814467)","(3.4728979e+16, 14.067784)","(3.4752337e+16, 14.072322)"
LC,100,"(29388041000000.0, 0.02814467)","(3.4728979e+16, 14.067784)","(3.4752337e+16, 14.072322)"
PM,5,"(0.0017783471, 1.3374217e-05)","(0.0039624367, 0.006062809)","(0.0039998344, 0.0060654394)"
PM,10,"(7.9190006, 10901.167)","(2.3862896, 74087.81)","(7.6476426, 72086.49)"
PM,15,"(7.9190006, 10901.167)","(2.3862896, 74087.81)","(7.6476426, 72086.49)"
PM,20,"(5028.673, 15497515000.0)","(1021.3969, 20037485000.0)","(5065.23, 33173688000.0)"
PM,25,"(17543396.0, 815978450000.0)","(9398860.0, 1324981000000.0)","(23820740.0, 1653965600000.0)"
PM,30,"(17543396.0, 926845400000.0)","(9398860.0, 1799521700000.0)","(23820740.0, 2135927300000.0)"
PM,35,"(2095224300.0, 676662400000.0)","(1265860200.0, 582717730000.0)","(1690209400.0, 822505900000.0)"
PM,40,"(323131470000.0, 852458000000000.0)","(199433000000.0, 770460600000000.0)","(257554740000.0, 1061688700000000.0)"
PM,45,"(395211240000.0, 938114740000000.0)","(184892900000.0, 811026400000000.0)","(531984650000.0, 1132144300000000.0)"
PM,50,"(5415520000000.0, 2.3642132e+19)","(3768749000000.0, 8.106875e+19)","(6772167000000.0, 6.3257855e+19)"
PM,55,"(527278770000000.0, 7.0946936e+20)","(566933330000000.0, 2.7215824e+21)","(663081300000000.0, 2.213464e+21)"
PM,60,"(522412400000000.0, 4.7068974e+20)","(564236560000000.0, 1.8769276e+21)","(652422100000000.0, 1.5598442e+21)"
PM,65,"(3147779700000000.0, 3.812243e+20)","(3294007700000000.0, 1.6214918e+21)","(3898212700000000.0, 1.4030699e+21)"
PM,70,"(1771848800000000.0, 2.0088114e+20)","(1947470200000000.0, 7.89516e+20)","(1232420000000000.0, 6.727588e+20)"
PM,75,"(5.3705633e+20, 8.125641e+21)","(5.7420586e+20, 3.271651e+22)","(1.0138116e+21, 2.8358987e+22)"
PM,80,"(5.3705633e+20, 5.92235e+21)","(5.7420582e+20, 2.4165505e+22)","(1.0138116e+21, 2.1449958e+22)"
PM,85,"(5.3705633e+20, 3.0010457e+22)","(5.7420582e+20, 1.2234194e+23)","(1.0138116e+21, 1.07994725e+23)"
