URL,volunteer_1,volunteer_2,volunteer_3,volunteer_4,volunteer_5,volunteer_6,Final_label
https://gitee.com/mindspore/mindspore/issues/I5LNEK,G4,G4,G4,G5,G5,G4,G4
https://gitee.com/mindspore/mindspore/issues/I6W7K9,G2,G2,G2,G2,E2,E1,G2
https://gitee.com/mindspore/mindspore/issues/I6SDLM,G1,G1,G1,G1,E3,G1,G1
https://gitee.com/mindspore/mindspore/issues/I7VNDN,G2,G2,G2,G2,A2,G2,G2
https://gitee.com/mindspore/mindspore/issues/I7C778,E3,B1,E3,E3,E3,C1,E3
https://gitee.com/mindspore/mindspore/issues/I5YZFC,E3,D2,E3,E3,E3,E3,E3
https://gitee.com/mindspore/mindspore/issues/I7U7KW,E2,E2,E2,C1,E2,A1,E2
https://gitee.com/mindspore/mindspore/issues/I5PAOM,E3,E3,E3,E3,F1,F1,E3
https://gitee.com/mindspore/mindspore/issues/I611QC,E1,E1,E1,G3,C1,E1,E1
https://gitee.com/mindspore/mindspore/issues/I7TMMJ,G4,G4,G4,G2,B3,G4,G4
https://gitee.com/mindspore/mindspore/issues/I6YIID,E3,G3,E3,E3,E3,E3,E3
https://gitee.com/mindspore/mindspore/issues/I5WLT4,E3,E3,E1,E3,E1,E3,E3
https://gitee.com/mindspore/mindspore/issues/I6YFD0,G5,G5,G4,G5,G4,G5,G5
https://gitee.com/mindspore/mindspore/issues/I6CHV2,E3,E3,A1,E3,E3,E3,E3
https://gitee.com/mindspore/mindspore/issues/I7MXP9,G5,G5,F2,G5,F2,G5,G5
https://gitee.com/mindspore/mindspore/issues/I7GAMU,B1,B1,A1,B1,B1,B1,B1
https://gitee.com/mindspore/mindspore/issues/I6C34R,E2,E2,E2,E2,C1,E2,E2
https://gitee.com/mindspore/mindspore/issues/I6D25E,A2,E2,E2,E2,E2,E2,E2
https://gitee.com/mindspore/mindspore/issues/I4TPLC,G5,G5,G4,G5,G5,G4,G5
https://gitee.com/mindspore/mindspore/issues/I4U4VX,E1,E1,E1,G5,E1,G5,E1
https://gitee.com/mindspore/mindspore/issues/I68TFT,B2,E2,E2,E2,E2,E2,E2
https://gitee.com/mindspore/mindspore/issues/I87B0D,C1,C1,C1,C1,E3,C1,C1
https://gitee.com/mindspore/mindspore/issues/I4W7Z0,B1,G5,B1,B1,B1,B1,B1
https://gitee.com/mindspore/mindspore/issues/I67HJC,E2,E2,D2,E2,E2,E2,E2
https://gitee.com/mindspore/mindspore/issues/I66EOC,B1,B1,C1,B1,B1,B1,B1
https://gitee.com/mindspore/mindspore/issues/I66A3J,C2,G1,G1,G1,G1,B3,G1
https://gitee.com/mindspore/mindspore/issues/I4ZHXE,E3,E3,E3,E3,E3,B1,E3
https://gitee.com/mindspore/mindspore/issues/I7ZIRQ,G2,F2,G2,G2,G2,G2,G2
https://gitee.com/mindspore/mindspore/issues/I658WD,C1,F2,C1,C1,B3,C1,C1
https://gitee.com/mindspore/mindspore/issues/I6502V,A4,A4,G4,A4,A4,F2,A4
https://gitee.com/mindspore/mindspore/issues/I78HP2,E3,E3,E3,E3,E3,A2,E3
https://gitee.com/mindspore/mindspore/issues/I7WH00,E1,E1,E1,A3,F2,E1,E1
https://gitee.com/mindspore/mindspore/issues/I6MKS8,C1,C1,D1,C1,C1,A4,C1
https://gitee.com/mindspore/mindspore/issues/I6MR71,G5,G5,G4,G5,G4,G5,G5
https://gitee.com/mindspore/mindspore/issues/I64ARW,A1,E3,E3,E3,E3,E3,E3
https://gitee.com/mindspore/mindspore/issues/I6N4H5,C1,B2,C1,C1,E1,C1,C1
https://gitee.com/mindspore/mindspore/issues/I6NGL2,B1,G4,G4,G4,G4,G4,G4
https://gitee.com/mindspore/mindspore/issues/I64DCL,C1,C1,F1,C1,C1,C1,C1
https://gitee.com/mindspore/mindspore/issues/I7Z6H9,G2,G2,G2,F1,G2,G2,G2
https://gitee.com/mindspore/mindspore/issues/I798OR,E3,E3,E3,E3,A4,E3,E3
https://gitee.com/mindspore/mindspore/issues/I66YRX,G4,G4,G3,G4,G4,G4,G4
https://gitee.com/mindspore/mindspore/issues/I62G11,E3,E3,F2,E3,E3,A1,E3
https://gitee.com/mindspore/mindspore/issues/I5QERM,E3,E3,E3,A1,E3,E3,E3
https://gitee.com/mindspore/mindspore/issues/I6QQZT,G4,G4,G4,G4,G4,C2,G4
https://gitee.com/mindspore/mindspore/issues/I68Z0R,B1,B1,B1,E1,B1,B1,B1
https://gitee.com/mindspore/mindspore/issues/I85QZ8,E3,E3,E3,E3,G4,E3,E3
https://gitee.com/mindspore/mindspore/issues/I82ZKP,G2,G2,G2,A1,D2,G2,G2
https://gitee.com/mindspore/mindspore/issues/I6NLOS,F1,E3,F1,F1,F1,F1,F1
https://gitee.com/mindspore/mindspore/issues/I6O2I0,G4,C2,G4,G4,G4,G4,G4
https://gitee.com/mindspore/mindspore/issues/I841JT,G2,G2,G1,G2,G2,G2,G2
https://gitee.com/mindspore/mindspore/issues/I66HNR,G2,G2,G4,G2,C1,G2,G2
https://gitee.com/mindspore/mindspore/issues/I5SXH7,G2,G2,G3,G2,G2,G2,G2
https://gitee.com/mindspore/mindspore/issues/I5RMB9,E3,G4,E3,E3,C1,E3,E3
https://gitee.com/mindspore/mindspore/issues/I611D8,G5,G5,C1,G5,C1,G5,G5
https://gitee.com/mindspore/mindspore/issues/I66DTT,B1,B2,B1,B1,B1,B1,B1
https://gitee.com/mindspore/mindspore/issues/I61WFB,B1,B1,B1,A1,B1,B1,B1
https://gitee.com/mindspore/mindspore/issues/I8KBA6,G2,G2,G2,G2,G2,B2,G2
https://gitee.com/mindspore/mindspore/issues/I6YGKC,E1,E2,E2,E2,E2,A2,E2
https://gitee.com/mindspore/mindspore/issues/I7RGTO,B1,B1,F1,B1,B1,B1,B1
https://gitee.com/mindspore/mindspore/issues/I6689K,E3,E3,E3,E3,E3,G2,E3
https://gitee.com/mindspore/mindspore/issues/I635KD,G2,E1,G2,G2,G2,G2,G2
https://gitee.com/mindspore/mindspore/issues/I64F3H,C2,C2,C2,C1,C1,C2,C2
https://gitee.com/mindspore/mindspore/issues/I65BVN,F1,F2,F2,F2,F2,F1,F2
https://gitee.com/mindspore/mindspore/issues/I6WXT4,G2,G2,G2,G4,G2,G4,G2
https://gitee.com/mindspore/mindspore/issues/I6MTIN,F1,E3,E3,B1,E3,E3,E3
https://gitee.com/mindspore/mindspore/issues/I8BJ4S,G2,G2,G2,G2,D2,G2,G2
https://gitee.com/mindspore/mindspore/issues/I60FA1,G4,G4,G4,G2,G4,E3,G4
https://gitee.com/mindspore/mindspore/issues/I6KOHI,E3,E3,E1,E3,E3,D1,E3
https://gitee.com/mindspore/mindspore/issues/I7K1SJ,B1,B1,B1,B1,E2,B1,B1
https://gitee.com/mindspore/mindspore/issues/I5D85C,E2,E2,E2,E2,E2,B3,E2
https://gitee.com/mindspore/mindspore/issues/I4TYL1,F1,C1,D2,F1,F1,F1,F1
https://gitee.com/mindspore/mindspore/issues/I5DEUX,E3,E3,E3,E3,E3,A2,E3
https://gitee.com/mindspore/mindspore/issues/I5688M,B3,G2,G2,G2,G2,G2,G2
https://gitee.com/mindspore/mindspore/issues/I568D7,E1,E1,E1,E1,F2,E1,E1
https://gitee.com/mindspore/mindspore/issues/I568JI,G1,A3,G2,G2,G2,G2,G2
